"CO_ANO";"CO_MES";"CO_NCM";"SG_UF_NCM";"VL_FOB"
2024;2;"58071000";"SC";11834
2024;2;"07103000";"SC";8
2024;5;"84835090";"SC";520
2024;3;"07112010";"SC";321
2024;5;"84818099";"SC";26
2024;3;"16025000";"SC";42
2024;2;"84385000";"SC";10172
2024;5;"73182100";"SC";7
2024;1;"02071400";"SC";198600
2024;1;"64029190";"SC";2223
2024;4;"84379000";"SC";5640
2024;5;"73102990";"SC";2661
2024;4;"85364900";"SC";5192
2024;2;"84719014";"SC";100
2024;5;"85437099";"SC";21576
2024;2;"62044300";"SC";23
2024;2;"21039021";"SC";37
2024;4;"76041029";"SC";161
2024;1;"85437099";"SC";201
2024;3;"39202019";"SC";476
2024;2;"61051000";"SC";196
2024;3;"85176239";"SC";22501
2024;5;"85322200";"SC";2043
2024;4;"69072200";"SC";22791
2024;1;"85049030";"SC";31045
2024;3;"07051900";"SC";48
2024;1;"62063000";"SC";1729
2024;4;"69041000";"SC";4234
2024;3;"61044200";"SC";205
2024;3;"85044050";"SC";16612
2024;2;"08045020";"SC";34
2024;5;"84834090";"SC";208484
2024;1;"85322590";"SC";65539
2024;3;"90328911";"SC";35823
2024;2;"84669340";"SC";11024
2024;1;"20011000";"SC";3362
2024;4;"16041310";"SC";41944
2024;3;"54011011";"SC";319
2024;3;"44111399";"SC";4011
2024;5;"39069019";"SC";39
2024;2;"62042300";"SC";5022
2024;5;"21069090";"SC";278
2024;2;"07089000";"SC";441
2024;2;"07109000";"SC";119
2024;4;"84678900";"SC";477
2024;3;"83100000";"SC";7
2024;4;"09024000";"SC";81
2024;3;"04012010";"SC";171
2024;4;"84198190";"SC";3357
2024;1;"84519090";"SC";1199
2024;2;"28273997";"SC";4975
2024;3;"16023230";"SC";1454
2024;1;"44111310";"SC";39384
2024;4;"84229090";"SC";819
2024;2;"08055000";"SC";13
2024;3;"83089090";"SC";5817
2024;3;"85364900";"SC";3144
2024;3;"03074310";"SC";77
2024;2;"48115129";"SC";18813
2024;1;"76042100";"SC";2845
2024;4;"58063100";"SC";1215
2024;2;"84099969";"SC";11399
2024;4;"60064200";"SC";109174
2024;3;"48062000";"SC";2207
2024;5;"40169300";"SC";15199
2024;3;"02071220";"SC";6438
2024;2;"84812090";"SC";361
2024;5;"61045200";"SC";9
2024;1;"84818011";"SC";1596
2024;4;"05040013";"SC";95586
2024;3;"85366910";"SC";890
2024;1;"48042100";"SC";50191
2024;4;"85389090";"SC";3902
2024;3;"16024900";"SC";64
2024;4;"85452000";"SC";804
2024;3;"49089000";"SC";5761
2024;3;"33029019";"SC";7111
2024;3;"73182200";"SC";0
2024;2;"64039190";"SC";1375
2024;3;"62042300";"SC";9418
2024;1;"62063000";"SC";3382
2024;1;"39174090";"SC";687
2024;3;"70179000";"SC";106
2024;1;"85369090";"SC";225
2024;3;"61042990";"SC";303
2024;4;"94039100";"SC";89
2024;2;"73182400";"SC";305
2024;2;"20011000";"SC";65367
2024;3;"15092000";"SC";94
2024;3;"02032900";"SC";147272
2024;5;"32151900";"SC";20535
2024;4;"68042290";"SC";95
2024;4;"44071100";"SC";4111673
2024;5;"84143011";"SC";95159
2024;2;"07109000";"SC";46
2024;5;"62052000";"SC";167
2024;2;"21039011";"SC";65
2024;5;"62034200";"SC";731
2024;5;"94035000";"SC";58300
2024;2;"84669420";"SC";3561
2024;5;"69109000";"SC";2557
2024;2;"84821010";"SC";3608
2024;5;"90328911";"SC";334
2024;5;"39269090";"SC";3095
2024;5;"28230010";"SC";4971
2024;5;"44123900";"SC";110075
2024;2;"91070010";"SC";1007
2024;1;"62044300";"SC";5232
2024;4;"84824000";"SC";1946
2024;5;"72259200";"SC";2261391
2024;5;"82159990";"SC";72
2024;4;"90184999";"SC";6239
2024;5;"54060010";"SC";1609
2024;1;"84331100";"SC";351
2024;5;"02071400";"SC";4239420
2024;2;"85441990";"SC";2
2024;3;"62034900";"SC";14
2024;5;"02074200";"SC";143493
2024;4;"84136090";"SC";21063
2024;1;"61091000";"SC";2569
